Filename,NUV,FUV,EUV
Teff=3850.logg=4.78.TRgrad=7.5.cmtop=5.5.cmin=3.5.7.gz.fits,885169586398.673,610465624884.8120,18750740704189.400
Teff=3850.logg=4.78.TRgrad=7.5.cmtop=5.5.cmin=3.7.g,1305511110425.520,702939643061.3500,18808092514657.1
Teff=3850.logg=4.78.TRgrad=7.5.cmtop=5.5.cmin=4.5.7.g,203210462914.88700,434470506808.05300,18477601834238.70
Teff=3850.logg=4.78.TRgrad=7.5.cmtop=5.5.cmin=4.7.g,478481437938.00700,506294722108.2840,18628553623501.40
Teff=3850.logg=4.78.TRgrad=7.5.cmtop=5.cmin=3.5.7.g,2349193782129.1100,2487003217598.920,110450538358589.22
Teff=3850.logg=4.78.TRgrad=7.5.cmtop=5.cmin=3.7.g,3640019675659.4200,2741202778664.7300,111342157840612.73
Teff=3850.logg=4.78.TRgrad=7.5.cmtop=5.cmin=4.7.g,930915939215.2450,2113850050695.26,108551684300584.7
Teff=3850.logg=4.78.TRgrad=7.5.cmtop=6.5.cmin=3.5.7.g,202057025195.26900,80657908740.00280,1443657967347.6700
Teff=3850.logg=4.78.TRgrad=7.5.cmtop=6.5.cmin=3.7.g,310854544386.4440,99859171574.26100,1445108118511.0400
Teff=3850.logg=4.78.TRgrad=7.5.cmtop=6.5.cmin=4.5.7.g,67854608170.23080,52060249447.647400,1436958668468.6500
Teff=3850.logg=4.78.TRgrad=7.5.cmtop=6.5.cmin=4.7.g,112092904968.49700,61992439891.0944,1440714315723.250
Teff=3850.logg=4.78.TRgrad=7.5.cmtop=6.5.cmin=5.5.7.g,11221420232.36450,41965814334.05180,1414313227679.0100
Teff=3850.logg=4.78.TRgrad=7.5.cmtop=6.5.cmin=5.7.g,38361918470.6593,47531584787.43600,1432851058323.4200
Teff=3850.logg=4.78.TRgrad=7.5.cmtop=6.cmin=3.5.7.g,420448187417.5860,220933331971.10900,5231000169993.2700
Teff=3850.logg=4.78.TRgrad=7.5.cmtop=6.cmin=3.7.g,627333646055.2760,262761729937.73200,5238170221848.600
Teff=3850.logg=4.78.TRgrad=7.5.cmtop=6.cmin=4.5.7.g,130862567962.0690,152450046820.78700,5194695451096.190
Teff=3850.logg=4.78.TRgrad=7.5.cmtop=6.cmin=4.7.g,243908673659.44500,178032605237.51800,5214672459530.290
Teff=3850.logg=4.78.TRgrad=7.5.cmtop=6.cmin=5.7.g,62392309018.44870,138718555831.2680,5168259719480.210
Teff=3850.logg=4.78.TRgrad=8.5.cmtop=5.5.cmin=3.5.7.g,310593292587.003,104572941697.8920,1188204769573.2200
Teff=3850.logg=4.78.TRgrad=8.5.cmtop=5.5.cmin=3.7.g,303692288343.8650,97439295281.62410,1187181735636.4100
Teff=3850.logg=4.78.TRgrad=8.5.cmtop=5.5.cmin=4.5.7.g,135555992410.18900,64480120420.31550,1187125882591.350
Teff=3850.logg=4.78.TRgrad=8.5.cmtop=5.5.cmin=4.7.g,248007777362.4890,89991572672.65890,1187473739395.0800
Teff=3850.logg=4.78.TRgrad=8.5.cmtop=5.cmin=3.5.7.g,1134244211173.2800,434616587132.3870,6553190908927.810
Teff=3850.logg=4.78.TRgrad=8.5.cmtop=5.cmin=3.7.g,1165841231247.4000,448011358162.0030,6551668971679.170
Teff=3850.logg=4.78.TRgrad=8.5.cmtop=5.cmin=4.7.g,615247213997.1460,308048902078.5410,6549972958433.710
Teff=3850.logg=4.78.TRgrad=8.5.cmtop=6.5.cmin=3.5.7.g,86939696555.71510,18323202373.885200,113945822272.93100
Teff=3850.logg=4.78.TRgrad=8.5.cmtop=6.5.cmin=3.7.g,89047829833.3133,16286038327.860100,114051337010.9990
Teff=3850.logg=4.78.TRgrad=8.5.cmtop=6.5.cmin=4.5.7.g,38653108370.08750,10687670789.479200,113577689818.29400
Teff=3850.logg=4.78.TRgrad=8.5.cmtop=6.5.cmin=4.7.g,64781884024.42090,15234837220.134300,113762771642.22900
Teff=3850.logg=4.78.TRgrad=8.5.cmtop=6.5.cmin=5.5.7.g,8908809825.758380,5710083887.474420,112406556452.00000
Teff=3850.logg=4.78.TRgrad=8.5.cmtop=6.5.cmin=5.7.g,24795434718.599200,8266813801.693150,113366023559.08500
Teff=3850.logg=4.78.TRgrad=8.5.cmtop=6.cmin=3.5.7.g,154962263089.5030,41865712844.62190,363762791953.2460
Teff=3850.logg=4.78.TRgrad=8.5.cmtop=6.cmin=3.7.g,156342946746.91600,37987899677.52210,363944357427.1980
Teff=3850.logg=4.78.TRgrad=8.5.cmtop=6.cmin=4.5.7.g,73611036524.38030,26413730301.11060,363299987502.3100
Teff=3850.logg=4.78.TRgrad=8.5.cmtop=6.cmin=4.7.g,126231332445.75500,36844835357.57370,363712138301.3110
Teff=3850.logg=4.78.TRgrad=8.5.cmtop=6.cmin=5.7.g,44251670863.641800,20695756000.397400,362706468460.1470
Teff=3850.logg=4.78.TRgrad=8.cmtop=5.5.cmin=3.5.7.g,649703210253.4100,262912368674.24300,4619119944727.580
Teff=3850.logg=4.78.TRgrad=8.cmtop=5.5.cmin=3.7.g,680046334659.8660,260420645263.38600,4574646551765.690
Teff=3850.logg=4.78.TRgrad=8.cmtop=5.5.cmin=4.5.7.g,186501818910.06700,154240175355.14100,4598504881994.160
Teff=3850.logg=4.78.TRgrad=8.cmtop=5.5.cmin=4.7.g,355497329874.0670,195955355553.0560,4613847865123.560
Teff=3850.logg=4.78.TRgrad=8.cmtop=5.cmin=3.5.7.g,1816771126566.640,987792950459.932,26965893576188.80
Teff=3850.logg=4.78.TRgrad=8.cmtop=5.cmin=3.7.g,2833756615160.2500,1208205147321.2200,27036415356845.900
