Filename,Teff,Logg,Mass,NUV,FUV,EUV
Teff=2900.logg=5.22.TRgrad=7.5.cmtop=5.5.cmin=3.5.7.g,2900,5.22,0.11,1916853590638.8200,908509345790.6360,24170535642088.100
Teff=2900.logg=5.22.TRgrad=7.5.cmtop=5.5.cmin=3.7.g,2900,5.22,0.11,2417460600201.5200,1004544922005.3400,24199733513848.80
Teff=2900.logg=5.22.TRgrad=7.5.cmtop=5.5.cmin=4.5.7.g,2900,5.22,0.11,529406849989.0520,572925092095.8870,23868542358579.000
Teff=2900.logg=5.22.TRgrad=7.5.cmtop=5.5.cmin=4.7.g,2900,5.22,0.11,948110550815.1010,699662494813.2600,24060269952856.30
Teff=2900.logg=5.22.TRgrad=7.5.cmtop=5.cmin=3.5.7.g,2900,5.22,0.11,3585051379757.1500,2189000862361.0900,83182119664381.2
Teff=2900.logg=5.22.TRgrad=7.5.cmtop=5.cmin=3.7.g,2900,5.22,0.11,4795440309614.130,2433693098574.580,83419617473061.80
Teff=2900.logg=5.22.TRgrad=7.5.cmtop=5.cmin=4.7.g,2900,5.22,0.11,1712322307628.0800,1774287657383.8100,82230424595641.80
Teff=2900.logg=5.22.TRgrad=7.5.cmtop=6.5.cmin=3.5.7.g,2900,5.22,0.11,399089035360.9650,111670878139.66800,1420071648103.1800
Teff=2900.logg=5.22.TRgrad=7.5.cmtop=6.5.cmin=3.7.g,2900,5.22,0.11,424171417624.3630,113655058072.13600,1419178736762.7100
Teff=2900.logg=5.22.TRgrad=7.5.cmtop=6.5.cmin=4.5.7.g,2900,5.22,0.11,144116456215.1150,64955969742.62530,1416491264933.1800
Teff=2900.logg=5.22.TRgrad=7.5.cmtop=6.5.cmin=4.7.g,2900,5.22,0.11,248720717404.65100,85819439679.22130,1418260420935.5000
Teff=2900.logg=5.22.TRgrad=7.5.cmtop=6.5.cmin=5.5.7.g,2900,5.22,0.11,52640221573.18010,42064087877.82140,1406707081474.4500
Teff=2900.logg=5.22.TRgrad=7.5.cmtop=6.5.cmin=5.7.g,2900,5.22,0.11,86785353970.04310,49129964245.06780,1412838769472.8400
Teff=2900.logg=5.22.TRgrad=7.5.cmtop=6.cmin=3.5.7.g,2900,5.22,0.11,933096521355.277,341956494943.26300,6278531447888.140
Teff=2900.logg=5.22.TRgrad=7.5.cmtop=6.cmin=3.7.g,2900,5.22,0.11,1055928457968.4800,363750739171.5840,6279423258433.460
Teff=2900.logg=5.22.TRgrad=7.5.cmtop=6.cmin=4.5.7.g,2900,5.22,0.11,287657220112.07,206098163583.71800,6250554593072.060
Teff=2900.logg=5.22.TRgrad=7.5.cmtop=6.cmin=4.7.g,2900,5.22,0.11,479931378262.76200,254810384245.06500,6268149936043.840
Teff=2900.logg=5.22.TRgrad=7.5.cmtop=6.cmin=5.7.g,2900,5.22,0.11,128824985574.85500,162713744138.42400,6219181384058.070
Teff=2900.logg=5.22.TRgrad=8.5.cmtop=5.5.cmin=3.5.7.g,2900,5.22,0.11,325366355764.1820,94722888873.9746,1494782083609.990
Teff=2900.logg=5.22.TRgrad=8.5.cmtop=5.5.cmin=3.7.g,2900,5.22,0.11,402931808612.42400,97893739998.09030,1493907119069.6200
Teff=2900.logg=5.22.TRgrad=8.5.cmtop=5.5.cmin=4.5.7.g,2900,5.22,0.11,250710756696.3430,96083947761.17430,1497441789966.410
Teff=2900.logg=5.22.TRgrad=8.5.cmtop=5.5.cmin=4.7.g,2900,5.22,0.11,266896920793.73800,101662713443.73700,1496237284317.0000
Teff=2900.logg=5.22.TRgrad=8.5.cmtop=5.cmin=3.5.7.g,2900,5.22,0.11,663253498479.1000,269736888006.0640,4853761247200.810
Teff=2900.logg=5.22.TRgrad=8.5.cmtop=5.cmin=3.7.g,2900,5.22,0.11,782456088625.2100,273170177834.8710,4847826238853.680
Teff=2900.logg=5.22.TRgrad=8.5.cmtop=5.cmin=4.7.g,2900,5.22,0.11,677593453006.311,287686232872.8980,4858183677641.870
Teff=2900.logg=5.22.TRgrad=8.5.cmtop=6.5.cmin=3.5.7.g,2900,5.22,0.11,125262627220.42100,12831714999.076300,106849842330.74200
Teff=2900.logg=5.22.TRgrad=8.5.cmtop=6.5.cmin=3.7.g,2900,5.22,0.11,147060591666.06800,13588046433.620000,106852070067.81500
Teff=2900.logg=5.22.TRgrad=8.5.cmtop=6.5.cmin=4.5.7.g,2900,5.22,0.11,84811507255.16190,14255262215.96820,106694851796.57700
Teff=2900.logg=5.22.TRgrad=8.5.cmtop=6.5.cmin=4.7.g,2900,5.22,0.11,86642875964.9878,13337044378.098100,106785407313.89000
Teff=2900.logg=5.22.TRgrad=8.5.cmtop=6.5.cmin=5.5.7.g,2900,5.22,0.11,42305971761.03720,6697770257.985140,106393044644.17000
Teff=2900.logg=5.22.TRgrad=8.5.cmtop=6.5.cmin=5.7.g,2900,5.22,0.11,57837913538.16380,9679867311.534330,106612465711.72700
Teff=2900.logg=5.22.TRgrad=8.5.cmtop=6.cmin=3.5.7.g,2900,5.22,0.11,194605888184.59200,34713555735.69100,422158203894.44900
Teff=2900.logg=5.22.TRgrad=8.5.cmtop=6.cmin=3.7.g,2900,5.22,0.11,237365742483.0550,36411216657.465700,422053876803.2840
Teff=2900.logg=5.22.TRgrad=8.5.cmtop=6.cmin=4.5.7.g,2900,5.22,0.11,140876874391.145,38192167022.025200,422567600023.4950
Teff=2900.logg=5.22.TRgrad=8.5.cmtop=6.cmin=4.7.g,2900,5.22,0.11,137978696438.04500,36353532973.96690,422340238272.2320
Teff=2900.logg=5.22.TRgrad=8.5.cmtop=6.cmin=5.7.g,2900,5.22,0.11,81191285839.99110,25517100338.574500,422461387316.33200
Teff=2900.logg=5.22.TRgrad=8.cmtop=5.5.cmin=3.5.7.g,2900,5.22,0.11,955391637701.4130,358599226287.4360,5910222667456.190
Teff=2900.logg=5.22.TRgrad=8.cmtop=5.5.cmin=3.7.g,2900,5.22,0.11,1008958748377.530,360848330747.06700,5907011726315.380
Teff=2900.logg=5.22.TRgrad=8.cmtop=5.5.cmin=4.5.7.g,2900,5.22,0.11,370524083275.4980,223311861901.88500,5896113210326.000
Teff=2900.logg=5.22.TRgrad=8.cmtop=5.5.cmin=4.7.g,2900,5.22,0.11,680364752838.266,298968767651.2210,5905191262140.260
Teff=2900.logg=5.22.TRgrad=8.cmtop=5.cmin=3.5.7.g,2900,5.22,0.11,2509536074402.180,995007000239.5350,19915231920693.20
Teff=2900.logg=5.22.TRgrad=8.cmtop=5.cmin=3.7.g,2900,5.22,0.11,2921993201309.9500,1082105551718.7700,19918246983140.700
Teff=2900.logg=5.22.TRgrad=8.cmtop=5.cmin=4.7.g,2900,5.22,0.11,1238586557920.180,709234037903.4630,19839521189419.40
Teff=2900.logg=5.22.TRgrad=8.cmtop=6.5.cmin=3.5.7.g,2900,5.22,0.11,179801050053.03100,36187049228.60750,378551161972.6590
Teff=2900.logg=5.22.TRgrad=8.cmtop=6.5.cmin=3.7.g,2900,5.22,0.11,199546611673.12300,36024987388.55450,378574992853.2720
Teff=2900.logg=5.22.TRgrad=8.cmtop=6.5.cmin=4.5.7.g,2900,5.22,0.11,115303609448.27700,30180475091.95350,378121241539.7600
Teff=2900.logg=5.22.TRgrad=8.cmtop=6.5.cmin=4.7.g,2900,5.22,0.11,167614394626.28300,39469268291.01390,378214857799.35200
Teff=2900.logg=5.22.TRgrad=8.cmtop=6.5.cmin=5.5.7.g,2900,5.22,0.11,45430036680.67680,15211297624.44620,376536829275.1490
