target,st_spectype,st_teff,ra,dec,calib_level,obs_collection,obs_id,target_name,s_ra,s_dec,t_min,t_exptime,wavelength_region,filters,target_classification,t_obs_release,instrument_name,project,distance
Kepler-283,,4141,293.6137413,47.838938,2,GALEX,6.37123E+18,AIS_9_1_40,293.701181,47.58868468,55814.27988,120,UV,NUV,,56189.00692,GALEX,AIS,0
HD 238090,M0.0 V,3933,183.0886375,54.486153,2,GALEX,6.3744E+18,AIS_99_1_79,183.5525914,54.27488564,54513.76112,246.05,UV,NUV,,55376.92799,GALEX,AIS,0
HD 238090,M0.0 V,3933,183.0886375,54.486153,2,GALEX,6.3744E+18,AIS_99_1_79,183.5525914,54.27488564,54513.76112,246.05,UV,FUV,,55376.92799,GALEX,AIS,0
HAT-P-54,,4133.4,99.8979924,25.4824005,2,GALEX,6.40546E+18,MISMWS_14663_0088,99.24596887,25.67281227,54819.4035,583,UV,NUV,,55797.28214,GALEX,MIS,0
HAT-P-54,,4133.4,99.8979924,25.4824005,2,GALEX,6.40546E+18,MISMWS_14663_0088,99.24596887,25.67281227,54819.4035,583,UV,FUV,,55797.28214,GALEX,MIS,0
2MASS J01225093-2439505,M3.5 V,3530,20.7128012,-24.6646128,2,GALEX,6.38063E+18,AIS_276_1_73,20.25400236,-24.52844807,54024.63184,190,UV,NUV,,55478.01726,GALEX,AIS,0
2MASS J01225093-2439505,M3.5 V,3530,20.7128012,-24.6646128,2,GALEX,6.38063E+18,AIS_276_1_73,20.25400236,-24.52844807,54024.63184,190,UV,FUV,,55478.01726,GALEX,AIS,0
EPIC 201170410,,3648,170.1408561,-4.8070039,2,GALEX,6.38207E+18,AIS_317_1_31,170.4672875,-4.507116234,54183.48948,185,UV,NUV,,55420.95883,GALEX,AIS,0
EPIC 201170410,,3648,170.1408561,-4.8070039,2,GALEX,6.38207E+18,AIS_317_1_31,170.4672875,-4.507116234,54183.48949,184,UV,FUV,,55420.95883,GALEX,AIS,0
K2-89,,3677,57.0671234,20.4594885,2,GALEX,6.39205E+18,GI1_100101_TauAur_CH01_1,57.22060568,20.58712613,53728.3098,309.1,UV,FUV,,55797.06473,GALEX,GII,0
GJ 393,M2.0 V,3579,157.2288672,0.8378485,2,GALEX,2.41238E+18,MISDR1_24299_0272,157.0227635,0.667046986,53091.50109,1690.1,UV,NUV,,55275.04625,GALEX,MIS,0
Kepler-658,,3733,282.983621,47.5783897,2,GALEX,3.15442E+18,GI4_056020_KEPLER_03,282.4995005,47.47013705,54604.26728,6434,UV,NUV,,55309.90537,GALEX,GII,0
Kepler-705,,3631,289.5085612,41.8120234,2,GALEX,3.72881E+18,MISKEP_08517_0014,289.2616901,42.17144825,55739.44578,1957.05,UV,NUV,,55992.21,GALEX,MIS,0
LkCa 15,,4194,69.8241791,22.3508662,2,GALEX,3.95539E+18,MISGCSS1_26194_0169,69.47978344,21.82681061,55562.407,1660.2,UV,NUV,,55993.10586,GALEX,MIS,0
