Filename,NUV,FUV,EUV
Teff=2500.logg=4.4.mass=0.08,637694.6739346080,1.21137045235023E-05,4.3965654613446E-37
Teff=2500.logg=4.4.mass=0.18,641112.5737820440,1.22061436556426E-05,4.49629674067947E-37
Teff=2500.logg=4.7.mass=0.08,346353.5556988460,1.64921574839304E-05,2.02218121930683E-36
Teff=2500.logg=4.7.mass=0.18,353244.3174167190,1.68516437776332E-05,2.10807039858036E-36
Teff=2500.logg=5.3.mass=0.08,113789.95378565300,3.09903645893954E-05,5.9621997669169E-35
Teff=2500.logg=5.3.mass=0.18,114699.99527944800,3.12477114644094E-05,6.04147769806986E-35
Teff=2500.logg=5.6.mass=0.08,80305.3136781826,4.29659095615863E-05,3.17275641703621E-34
Teff=2500.logg=5.6.mass=0.18,82293.9454246385,4.43085855307829E-05,3.33590322650118E-34
Teff=2500.logg=5.mass=0.08,195568.27173619900,2.28862950373127E-05,1.1131747097664E-35
Teff=2500.logg=5.mass=0.18,196414.91695470000,2.29899921736218E-05,1.1218419320864E-35
Teff=2550.logg=4.4.mass=0.08,1179542.4920882100,2.69877122689323E-05,4.85073667701661E-36
Teff=2550.logg=4.4.mass=0.18,1185363.3677278300,2.72344675199759E-05,5.19194011176844E-36
Teff=2550.logg=4.7.mass=0.08,683325.9752191690,3.42835847604734E-05,1.07031284724562E-35
Teff=2550.logg=4.7.mass=0.18,696714.5237409920,3.51033962565651E-05,1.17482781872977E-35
Teff=2550.logg=5.3.mass=0.08,231375.91424825400,6.16499276812395E-05,1.74518611544434E-34
Teff=2550.logg=5.3.mass=0.18,233438.36092930500,6.22336360131914E-05,1.77320668511758E-34
Teff=2550.logg=5.6.mass=0.08,147443.07148318500,8.20145991045334E-05,9.43364674883928E-34
Teff=2550.logg=5.6.mass=0.18,151817.97507026000,8.56010749063387E-05,9.89348316104533E-34
Teff=2550.logg=5.mass=0.08,400694.7565376880,4.7609185657165E-05,4.03166615232774E-35
Teff=2550.logg=5.mass=0.18,402695.6383292660,4.78440359115338E-05,4.1056722718568E-35
Teff=2600.logg=4.4.mass=0.08,2869997.944600380,8.06289933838852E-05,9.21064750384013E-34
Teff=2600.logg=4.4.mass=0.18,2882312.478620230,8.11323417327912E-05,9.95906688668169E-34
Teff=2600.logg=4.7.mass=0.08,1748847.014938270,0.00010522619650232200,1.21641042923484E-33
Teff=2600.logg=4.7.mass=0.18,1783353.8184511700,0.00010907658114861800,1.43222290391085E-33
Teff=2600.logg=5.3.mass=0.08,472183.1573587940,0.00013028389571667000,1.02963111531198E-33
Teff=2600.logg=5.3.mass=0.18,476556.6892450920,0.00013164854712340600,1.07650417322674E-33
Teff=2600.logg=5.6.mass=0.08,362710.8276926900,0.00020797045545068100,5.88090691380703E-33
Teff=2600.logg=5.6.mass=0.18,373508.53990081500,0.000215493230175273,6.52322844678078E-33
Teff=2600.logg=5.mass=0.08,795451.8746637690,0.00010602394879734600,5.06227236021775E-34
Teff=2600.logg=5.mass=0.18,798611.8997556860,0.00010657526699113900,5.28565784039384E-34
Teff=2650.logg=4.4.mass=0.08,4785763.564680250,0.00015858344271428200,5.18498018924699E-32
Teff=2650.logg=4.4.mass=0.18,4810275.274984680,0.00015882503070973100,6.13325046927231E-32
Teff=2650.logg=4.7.mass=0.08,3064668.933511740,0.00019871496593740300,4.97930605208479E-32
Teff=2650.logg=4.7.mass=0.18,3075081.8592563600,0.00019982350047793500,5.31092941465064E-32
Teff=2650.logg=5.3.mass=0.08,1195208.1676746300,0.0003846229704921660,8.25327171048584E-32
Teff=2650.logg=5.3.mass=0.18,1205799.1807295600,0.0003909596279729290,8.85307912463264E-32
Teff=2650.logg=5.6.mass=0.08,728432.3719769340,0.00045275633236882400,1.0586355984657E-31
Teff=2650.logg=5.6.mass=0.18,750980.5804173630,0.000466991880293085,1.25950248878619E-31
