Filename,NUV,FUV,EUV
lte.photo.Teff=2500.logg=4.4.mass=0.08.pout=1e-05.igrains=1.fits,0.006376946739346080,1.21137045235023E-13,4.3965654613446E-45
lte.photo.Teff=2500.logg=4.4.mass=0.18.pout=1e-05.igrains=1.fits,0.006411125737820440,1.22061436556426E-13,4.49629674067947E-45
lte.photo.Teff=2500.logg=4.7.mass=0.08.pout=1e-05.igrains=1.fits,0.0034635355569884600,1.64921574839304E-13,2.02218121930683E-44
lte.photo.Teff=2500.logg=4.7.mass=0.18.pout=1e-05.igrains=1.fits,0.0035324431741671900,1.68516437776332E-13,2.10807039858036E-44
lte.photo.Teff=2500.logg=5.3.mass=0.08.pout=1e-05.igrains=1.fits,0.0011378995378565300,3.09903645893954E-13,5.96219976691691E-43
lte.photo.Teff=2500.logg=5.3.mass=0.18.pout=1e-05.igrains=1.fits,0.001146999952794490,3.12477114644094E-13,6.04147769806985E-43
lte.photo.Teff=2500.logg=5.6.mass=0.08.pout=1e-05.igrains=1.fits,0.0008030531367818260,4.29659095615863E-13,3.17275641703621E-42
lte.photo.Teff=2500.logg=5.6.mass=0.18.pout=1e-05.igrains=1.fits,0.0008229394542463860,4.43085855307829E-13,3.33590322650118E-42
lte.photo.Teff=2500.logg=5.mass=0.08.pout=1e-05.igrains=1.fits,0.001955682717361990,2.28862950373127E-13,1.1131747097664E-43
lte.photo.Teff=2500.logg=5.mass=0.18.pout=1e-05.igrains=1.fits,0.0019641491695470000,2.29899921736218E-13,1.1218419320864E-43
lte.photo.Teff=2550.logg=4.4.mass=0.08.pout=1e-05.igrains=1.fits,0.01179542492088210,2.69877122689323E-13,4.85073667701661E-44
lte.photo.Teff=2550.logg=4.4.mass=0.18.pout=1e-05.igrains=1.fits,0.011853633677278300,2.72344675199759E-13,5.19194011176844E-44
lte.photo.Teff=2550.logg=4.7.mass=0.08.pout=1e-05.igrains=1.fits,0.006833259752191690,3.42835847604734E-13,1.07031284724562E-43
